Land_town,Heating_Degree_day,Altitude,Latitude,Longitude,Average_High_Temperature_in_Jan_2016,Average_Temperature_in_Jan_2016,Days_with_precipitation_Jan_2016,Residents_per_dwelling_ratio,Independent_Heat_System_Share_of_Dwellings,Independent_Hot_Water_System_Share_of_Dwellings,Share_of_buildings_built_before_1960,Share_of_buildings_built_after_1990,Average_building_age,Share_of_non-occupied_buildings,Rate_of_urban_population,Population_density_per__Sq_km,Share_of_houses_owned,Share_of_houses_rented,Average_habitable_area_per_resident_sqm,Average_size_of_dwellings_sqm,Average_family_size,Employees_population_ratio,Per_capita_income_€,Share_of_employees_in_the_industrial_sector,Tourist_accommodations_per_capita,Share_of_recycled_waste,Per_capita_recycled_waste_production_kg,Per_capita_urban_waste_production_kg,Per_capita_electr_energy_cons_in_the_domes_sector_kWh,Province
Pisa,1694,4,43.67326757,10.35521489,11.61290323,8.580645161,16,2.432083942,0.855068708,0.852711933,0.536600084,0.127127411,68.924343,0.161555926,0.925810453,172.5561747,0.736415931,0.168957631,42.07,101.5840278,2.29,0.270848026,21880.94812,0.426084224,0.093800892,0.5969,342.35,573.53,1061.986341,Pisa
Arezzo,2104,296,43.44605239,11.90532736,9.64516129,6.516129032,14,2.481791463,0.846115589,0.844605258,0.49755174,0.143787948,68.34453875,0.206419838,0.870741629,106.5163474,0.751618089,0.149956992,42.14,104.000491,2.34,0.292737928,20246.10488,0.480314491,0.078795147,0.3895,224.06,575.28,1027.081022,Arezzo
Isernia,1866,423,41.60821772,14.21707253,11.32258065,7.935483871,15,2.481751202,0.768748881,0.744266953,0.623734648,0.092884857,74.0899822,0.377957769,0.897914971,55.89240817,0.757898543,0.109161197,43.71,107.6813643,2.35,0.187824532,15845.56323,0.405834249,0.028145213,0.2833,108.3,382.26,886.8947031,Isernia
Siena,1943,322,43.31151922,11.33475416,10.67741936,7.467741936,11,2.369985511,0.859434524,0.846780824,0.618487525,0.089044001,82.58970923,0.214706491,0.883520053,70.22874907,0.730030815,0.168989336,42.43,99.5960053,2.23,0.364408655,21654.70508,0.271081423,0.249980435,0.433,270.28,624.26,1094.13023,Siena
Grosseto,1550,10,42.76815358,11.09115369,12.87096774,9.241935484,10,2.260201258,0.790629685,0.721600231,0.55355979,0.112180347,66.78812828,0.353372405,0.855538528,49.53125695,0.75622717,0.145509132,40.72,91.31626463,2.14,0.21789594,19043.44045,0.282875572,0.443358963,0.3295,213.51,648.04,1210.966397,Grosseto
Prato,1668,61,43.8791127,11.08574803,10.61290323,7.467741936,16,2.617882198,0.827808231,0.831774598,0.448565763,0.119459263,56.93499148,0.123567591,0.980615332,696.2239272,0.769868809,0.158679546,39.43,102.5678593,2.48,0.374501862,20349.58124,0.484168694,0.013746622,0.5835,402.08,689.02,1035.317036,Prato
Viterbo,1989,326,42.43865169,12.06418636,11.4516129,8.209677419,13,2.3865077,0.800078098,0.707222137,0.422261602,0.165229904,60.63997442,0.234005781,0.86288611,88.24029303,0.747025584,0.145530177,41.85,99.09302272,2.25,0.176744528,18339.53393,0.327431868,0.097311039,0.4813,200.16,415.9,1038.531949,Viterbo
Rieti,2324,405,42.40656458,12.85139516,10.4516129,6.822580645,17,2.358043829,0.798212613,0.695402829,0.57746284,0.088922022,75.43199041,0.424088574,0.858336985,57.235138,0.751108532,0.120956462,41.75,97.85102277,2.22,0.14430538,18516.38217,0.359966058,0.036482023,0.3352,140.94,420.51,1065.938254,Rieti
Roma,1415,20,41.88653282,12.46184018,13.16129032,9.387096774,12,2.377390123,0.626031021,0.60264321,0.262619899,0.186595675,43.78758916,0.131009415,0.968290404,811.7699047,0.702696036,0.18411565,39.21,91.70115513,2.17,0.386518456,24718.27017,0.171897632,0.060559455,0.4234,229.69,542.55,1173.910787,Roma
Frosinone,2196,291,41.63554429,13.33227394,11.58064516,7.274193548,14,2.589722294,0.740332074,0.703047439,0.392083874,0.093443071,55.65858889,0.265115417,0.784027962,151.8522394,0.750049682,0.10667679,41.86,107.9135342,2.42,0.187012976,17348.93454,0.390789502,0.037528368,0.427,151.85,355.62,952.6088747,Frosinone
Napoli,1034,17,40.85767711,14.24018568,13.35483871,11.12903226,16,2.934354049,0.730973618,0.527841784,0.338017206,0.105841185,51.48383518,0.110185513,0.987980842,2635.459399,0.566467952,0.31379033,30.73,89.5785304,2.77,0.167945463,18210.42658,0.253532684,0.029501391,0.4705,228.64,485.97,898.1636984,Napoli
Foggia,1530,76,41.45720813,15.58446747,12.80645161,9.193548387,12,2.683330547,0.827820894,0.767171425,0.465873786,0.097447109,61.16941874,0.283098388,0.958054345,89.69825676,0.729059147,0.16193722,34.65,92.46321131,2.58,0.139538264,14827.57114,0.284612127,0.16700819,0.252,109.49,434.49,869.4531593,Foggia
Bari,1185,5,41.10401052,16.84661095,13.29032258,10.56451613,15,2.709955309,0.851187857,0.79862804,0.431509211,0.120744705,60.16247163,0.167157069,0.957177206,326.2196174,0.714473809,0.199339737,36.52,98.40217309,2.56,0.213772435,17624.97953,0.329981736,0.020962717,0.3633,173.26,476.92,970.0494071,Bari
Taranto,1071,15,40.46435872,17.30171335,14.09677419,11.01612903,12,2.631941693,0.844857976,0.716987951,0.26006214,0.128168303,46.36970942,0.26143126,0.952689562,236.4773698,0.755144272,0.152945636,39.53,103.6911622,2.51,0.141028207,16886.99056,0.306845195,0.034727899,0.2947,146.51,497.13,1026.258014,Taranto
Brindisi,1083,15,40.60719864,17.89951193,13.41935484,10.90322581,15,2.623077527,0.806825578,0.664557382,0.311760063,0.108691033,49.54255206,0.335290664,0.920801096,213.3574674,0.753171514,0.138285766,39.64,103.5433252,2.52,0.145750634,15790.99183,0.316962528,0.072642244,0.492,228.26,463.9,1070.053364,Brindisi
Lecce,1153,49,40.40496795,18.17898629,13.22580645,9.85483871,15,2.575291881,0.82682762,0.589021981,0.287468146,0.137462771,46.10194225,0.31714017,0.962634255,286.5535208,0.792239283,0.098932314,44.89,115.1647957,2.44,0.170460015,15475.98405,0.35014483,0.111077172,0.2669,129.22,484.07,1062.609559,Lecce
Barletta,1306,15,41.29005187,16.21703264,13.29032258,10.56451613,15,2.856102309,0.889493791,0.874973059,0.375697664,0.12917505,55.69667571,0.203552515,0.984894939,254.4123581,0.698593097,0.207659162,33.14,94.03990434,2.72,0.175764507,14741.02327,0.371236438,0.013358944,0.5038,228.04,452.66,895.9459528,Barletta
Potenza,2472,819,40.66026624,15.80759132,7.193548387,4.161290323,16,2.536714859,0.738052935,0.728842241,0.441774251,0.137731049,59.30335732,0.307281863,0.861343882,56.21140803,0.747986771,0.108525488,37.11,93.45659995,2.4,0.16475849,16190.02879,0.393059035,0.038655984,0.4246,140.5,330.94,843.5847631,Potenza
Matera,1776,401,40.67078287,16.57952156,12.09677419,8.951612903,14,2.553676715,0.806887093,0.790509154,0.454429928,0.112275382,57.96377135,0.267963359,0.922374201,57.39894119,0.728453439,0.14120169,36.88,93.81948238,2.42,0.165241553,15700.20265,0.365431725,0.132638906,0.3425,135.99,397.0,880.3866089,Matera
Catanzaro,1328,320,38.8909407,16.60334004,13.22580645,10.67741936,10,2.554292042,0.659935457,0.551682919,0.442301865,0.12220049,58.10800437,0.359237297,0.940815527,150.0104919,0.708427608,0.141387112,39.61,100.5753104,2.43,0.159348157,15905.93089,0.259469829,0.079272954,0.388,157.67,406.36,996.2935671,Catanzaro
Crotone,899,8,39.09389554,17.08908634,13.64516129,11.24193548,10,2.682671316,0.552432237,0.457265434,0.304559889,0.141253048,46.65105181,0.466686763,0.959140062,101.1508377,0.727820134,0.116524039,38.14,101.8388227,2.49,0.142544335,13731.61017,0.313467778,0.11287493,0.1822,75.83,416.24,986.5235866,Crotone
Vibo_Valentia,1586,476,38.68353117,16.09440777,6.870967742,4.951612903,21,2.6229374,0.613559035,0.476391536,0.48169272,0.132753884,57.57514901,0.401387141,0.935933761,140.4600612,0.715450514,0.117647059,37.97,98.96027287,2.49,0.131559461,14145.71904,0.285747511,0.214832415,0.2385,90.7,380.27,949.7645698,Vibo_Valentia
Reggio_Calabria,772,15,38.11376643,15.71879883,14.87096774,12.9516129,17,2.621605032,0.585968072,0.36369246,0.39937065,0.097271078,51.57656512,0.337415811,0.974225317,172.5222811,0.65641757,0.166966133,38.68,100.8777764,2.52,0.127581144,15218.02277,0.23033588,0.034077142,0.2491,101.24,406.44,1047.013601,Reggio_Calabria
Trapani,810,3,37.92239375,12.62773283,15.41935484,12.64516129,12,2.535859852,0.70176795,0.364992151,0.214168399,0.148890007,40.72174714,0.354435392,0.972134156,175.9283916,0.721435063,0.125987509,42.21,106.4567434,2.55,0.14630731,15041.70082,0.280763116,0.068825436,0.2535,119.92,472.98,1166.922914,Trapani
Palermo,751,14,38.13134038,13.33178335,15.48387097,13.4516129,15,2.655371876,0.632798417,0.33395943,0.346694718,0.129741257,49.25414753,0.296407289,0.971303932,253.1734736,0.646580797,0.215855573,38.4,101.3051131,2.56,0.141562499,17692.83694,0.220454997,0.026750154,0.1037,48.84,470.91,1057.626573,Palermo
Messina,707,3,38.19217796,15.51125207,15.03225807,13.19354839,18,2.393167681,0.673780776,0.419497967,0.465439574,0.105006495,57.28376949,0.32841881,0.962254395,194.9266371,0.7014907,0.140230085,38.36,90.96737413,2.31,0.148163195,16827.96492,0.290174491,0.074285364,0.1429,67.83,474.66,1078.609541,Messina
Agrigento,729,230,37.32324035,13.56708959,15.16129032,12.14516129,11,2.612837395,0.778353068,0.408430952,0.315694352,0.114578326,47.79984239,0.415012261,0.955717633,144.8110815,0.731355471,0.103331055,39.18,101.8404243,2.53,0.114404134,13498.8844,0.263654147,0.040201426,0.1726,80.65,467.21,1041.739717,Agrigento
Caltanissetta,1550,568,37.47129545,14.0091521,8.806451613,6.35483871,13,2.61268751,0.783340423,0.552736056,0.380252283,0.127136613,50.42856138,0.373863799,0.956488306,126.1288015,0.745959284,0.100042709,37.7,98.1101523,2.48,0.13874822,14891.77802,0.323181674,0.015883727,0.23,90.17,392.08,970.3014349,Caltanissetta
Enna,2248,931,37.51999837,14.28942002,8.806451613,6.35483871,13,2.494226428,0.790593026,0.676165841,0.490376139,0.092403761,59.18394799,0.356395236,0.894782965,65.27040008,0.749231645,0.084092203,38.32,95.1806704,2.41,0.115882872,14322.82245,0.319452736,0.015441649,0.1104,39.96,362.12,925.9038869,Enna
Catania,833,7,37.44318209,15.03658326,15.96774194,12.5483871,12,2.615209323,0.707707065,0.442367363,0.360492403,0.130966583,48.92512793,0.240644428,0.980525897,311.5283289,0.699555949,0.157931274,37.43,97.32461085,2.48,0.155345089,16824.24162,0.268616371,0.02007899,0.1805,87.48,484.66,1003.590218,Catania
Ragusa,1324,520,36.90813614,14.66477954,8.935483871,6.838709677,11,2.593577881,0.730438766,0.411758689,0.309441521,0.142308292,46.24938225,0.416902669,0.917223863,197.895229,0.745999299,0.118777846,40.17,103.6112906,2.48,0.17015402,14362.64165,0.299019514,0.061476417,0.1665,75.26,451.94,1107.484153,Ragusa
Siracusa,799,17,37.04040729,15.2143612,16.35483871,13.38709677,9,2.581295382,0.560054099,0.291746415,0.264791584,0.114867312,44.01656542,0.285191012,0.958275511,189.6406269,0.738446067,0.12549726,39.31,100.8433149,2.47,0.142798919,16517.55604,0.345823849,0.045419565,0.0932,44.96,482.24,1128.538163,Siracusa
Latina,1220,21,41.46740251,12.87879511,14.06451613,9.903225807,13,2.608869732,0.822109659,0.749649841,0.255705386,0.126113397,45.9921174,0.268705209,0.844477651,254.8095171,0.722556733,0.151227901,37.28,96.85329502,2.36,0.204482204,17441.01314,0.335933853,0.077235511,0.4181,210.3,502.99,1027.847018,Latina
Caserta,1013,68,41.08856665,14.35816463,12.41935484,9.14516129,16,2.83517871,0.717416631,0.604902449,0.319855639,0.131229516,51.78991537,0.217232697,0.950141504,348.5680405,0.646245478,0.194447769,35.78,100.9807755,2.66,0.13789491,16260.73967,0.32324657,0.016983962,0.512,233.23,455.55,946.3667783,Caserta
Benevento,1316,135,41.15010767,14.78376056,11.38709677,8.306451613,19,2.627477382,0.699494486,0.66958167,0.363560802,0.133686683,55.3158646,0.244794931,0.786002106,134.4328728,0.692613844,0.134185845,41.68,109.1511007,2.51,0.155338715,15367.53756,0.35608731,0.0228551,0.7094,252.82,356.39,877.0894789,Benevento
Avellino,1742,348,40.91484743,14.78903328,11.03225807,8.0,18,2.660119011,0.760717527,0.717693937,0.219496121,0.164502989,42.72336692,0.260003668,0.843448901,150.928057,0.699418791,0.144958326,40.18,106.2696833,2.5,0.171955718,15917.01834,0.396403599,0.015851015,0.5605,195.17,348.23,838.4769047,Avellino
